8,pt1,142.9663,233.9892,37.7155
9,pt1,143.0290,232.3502,37.4685
10,pt1,142.9663,233.9892,37.7155
10,pt2,143.0290,232.3502,37.4685
OD,pt1,114.0700,282.6330,39.7045
OD,pt2,114.0727,282.6346,39.7045
OD,pt3,114.0759,282.6365,39.7045
OD,pt4,114.0792,282.6384,39.7045
OD,pt5,114.0816,282.6397,39.7045
OD,pt6,114.0848,282.6416,39.7045
OD,pt7,114.0880,282.6435,39.7045
OD,pt8,114.0907,282.6451,39.7045
OD,pt9,114.0940,282.6470,39.7045
OD,pt10,114.0969,282.6487,39.7045
OD,pt11,114.0999,282.6504,39.7045
OD,pt12,114.1031,282.6523,39.7045
OD,pt13,114.1058,282.6538,39.7045
OD,pt14,114.1090,282.6557,39.7045
OD,pt15,114.1122,282.6576,39.7045
OD,pt16,114.1147,282.6591,39.7045
OD,pt17,114.1178,282.6610,39.7045
OD,pt18,114.1210,282.6628,39.7045
OD,pt19,114.1238,282.6645,39.7045
OD,pt20,114.1270,282.6663,39.7045
OD,pt21,114.1299,282.6680,39.7045
OD,pt22,114.1330,282.6697,39.7045
OD,pt23,114.1363,282.6716,39.7045
OD,pt24,114.1388,282.6731,39.7045
OD,pt25,114.1421,282.6749,39.7045
OD,pt26,114.1453,282.6768,39.7045
OD,pt27,114.1478,282.6783,39.7045
OD,pt28,114.1510,282.6802,39.7045
OD,pt29,114.1540,282.6821,39.7045
OD,pt30,114.1569,282.6838,39.7045
OD,pt31,114.1601,282.6857,39.7045
OD,pt32,114.1628,282.6873,39.7045
OD,pt33,114.1660,282.6892,39.7045
OD,pt34,114.1693,282.6911,39.7045
OD,pt35,114.1717,282.6924,39.7045
OD,pt36,114.1749,282.6943,39.7045
OD,pt37,114.1781,282.6962,39.7045
OD,pt38,114.1808,282.6978,39.7045
OD,pt39,114.1840,282.6997,39.7045
OD,pt40,114.1870,282.7014,39.7045
OD,pt41,114.1900,282.7031,39.7045
OD,pt42,114.1932,282.7050,39.7045
OD,pt43,114.1959,282.7065,39.7045
OD,pt44,114.1990,282.7084,39.7045
OD,pt45,114.2022,282.7104,39.7045
OD,pt46,114.2047,282.7119,39.7045
OD,pt47,114.2079,282.7138,39.7045
OD,pt48,114.2109,282.7156,39.7045
OD,pt49,114.2138,282.7173,39.7045
OD,pt50,114.2170,282.7192,39.7045
OD,pt51,114.2197,282.7208,39.7045
OD,pt52,114.2229,282.7227,39.7045
OD,pt53,114.2261,282.7246,39.7045
OD,pt54,114.2285,282.7260,39.7045
OD,pt55,114.2319,282.7278,39.7045
OD,pt56,114.2352,282.7297,39.7045
OD,pt57,114.2378,282.7311,39.7045
OD,pt58,114.2411,282.7329,39.7045
OD,pt59,114.2442,282.7347,39.7045
OD,pt60,114.2471,282.7364,39.7045
OD,pt61,114.2503,282.7383,39.7045
OD,pt62,114.2530,282.7399,39.7045
OD,pt63,114.2562,282.7418,39.7045
OD,pt64,114.2594,282.7437,39.7045
OD,pt65,114.2618,282.7451,39.7045
OD,pt66,114.2651,282.7469,39.7045
OD,pt67,114.2683,282.7488,39.7045
OD,pt68,114.2710,282.7504,39.7045
OD,pt69,114.2743,282.7522,39.7045
OD,pt70,114.2773,282.7539,39.7045
OD,pt71,114.2802,282.7556,39.7045
OD,pt72,114.2835,282.7575,39.7045
OD,pt73,114.2862,282.7591,39.7045
OD,pt74,114.2894,282.7609,39.7045
OD,pt75,114.2926,282.7628,39.7045
OD,pt76,114.2951,282.7642,39.7045
OD,pt77,114.2983,282.7661,39.7045
OD,pt78,114.3016,282.7680,39.7045
OD,pt79,114.3042,282.7695,39.7045
OD,pt80,114.3074,282.7714,39.7045
OD,pt81,114.3105,282.7731,39.7045
OD,pt82,114.3134,282.7748,39.7045
OD,pt83,114.3166,282.7767,39.7045
OD,pt84,114.3193,282.7783,39.7045
OD,pt85,114.3225,282.7801,39.7045
OD,pt86,114.3258,282.7820,39.7045
OD,pt87,114.3282,282.7834,39.7045
OD,pt88,114.3315,282.7852,39.7045
OD,pt89,114.3347,282.7871,39.7045
OD,pt90,114.3374,282.7887,39.7045
OD,pt91,114.3406,282.7906,39.7045
OD,pt92,114.3435,282.7923,39.7045
OD,pt93,114.3465,282.7941,39.7045
OD,pt94,114.3497,282.7960,39.7045
OD,pt95,114.3524,282.7975,39.7045
OD,pt96,114.3557,282.7993,39.7045
OD,pt97,114.3590,282.8012,39.7045
OD,pt98,114.3614,282.8025,39.7045
OD,pt99,114.3647,282.8044,39.7045
OD,pt100,114.3679,282.8063,39.7045
OD,pt101,114.3706,282.8078,39.7045
OD,pt102,114.3738,282.8097,39.7045
OD,pt103,114.3768,282.8114,39.7045
OD,pt104,114.3797,282.8132,39.7045
OD,pt105,114.3830,282.8150,39.7045
OD,pt106,114.3857,282.8166,39.7045
OD,pt107,114.3889,282.8184,39.7045
OD,pt108,114.3922,282.8203,39.7045
OD,pt109,114.3946,282.8217,39.7045
OD,pt110,114.3978,282.8236,39.7045
OD,pt111,114.4011,282.8255,39.7045
OD,pt112,114.4037,282.8270,39.7045
OD,pt113,114.4070,282.8289,39.7045
OD,pt114,114.4099,282.8306,39.7045
OD,pt115,114.4129,282.8324,39.7045
OD,pt116,114.4162,282.8342,39.7045
OD,pt117,114.4188,282.8358,39.7045
OD,pt118,114.4221,282.8376,39.7045
OD,pt119,114.4253,282.8395,39.7045
